Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ribosome	70/158	5.366539e-101	9.498773e-99	0	0	1.206154e+02	2.784779e+04	RPL4;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;RPS24;RPS23
KEGG_2021_Human	Coronavirus disease	72/232	2.502808e-90	2.214985e-88	0	0	6.904688e+01	1.424542e+04	RPL4;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPS10;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL27;RPL26;RPL29;RPL28;UBA52;CFD;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;NFKBIA;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;RPS24;RPS23
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	11/193	4.042886e-06	2.385303e-04	0	0	6.273562e+00	7.790856e+01	NFKBIA;CDKN1A;CLEC2B;UBB;MYC;HLA-B;HLA-C;HLA-A;RPS27A;UBA52;HLA-E
KEGG_2021_Human	Viral myocarditis	6/60	2.963485e-05	1.311342e-03	0	0	1.130928e+01	1.179169e+02	HLA-B;HLA-C;HLA-A;CD55;ACTG1;HLA-E
KEGG_2021_Human	Antigen processing and presentation	6/78	1.309957e-04	4.637249e-03	0	0	8.474227e+00	7.576252e+01	HLA-B;HLA-C;HLA-A;HSPA2;B2M;HLA-E
KEGG_2021_Human	Epstein-Barr virus infection	9/202	2.046730e-04	6.037854e-03	0	0	4.786995e+00	4.066120e+01	NFKBIA;CDKN1A;MYC;HLA-B;HLA-C;TNFAIP3;HLA-A;B2M;HLA-E
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	9/219	3.715728e-04	9.395485e-03	0	0	4.395662e+00	3.471591e+01	NFKBIA;CDKN1A;MYC;HLA-B;HLA-C;TSPO;HLA-A;B2M;HLA-E
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	4/37	4.949473e-04	1.079467e-02	0	0	1.222449e+01	9.304132e+01	SFN;ATP1B3;ATP1A1;SGK1
KEGG_2021_Human	Allograft rejection	4/38	5.488816e-04	1.079467e-02	0	0	1.186435e+01	8.907309e+01	HLA-B;HLA-C;HLA-A;HLA-E
KEGG_2021_Human	Graft-versus-host disease	4/42	8.067730e-04	1.213137e-02	0	0	1.061332e+01	7.559303e+01	HLA-B;HLA-C;HLA-A;HLA-E
