Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ribosome	33/158	2.551730e-34	5.052426e-32	0	0	3.110299e+01	2.405851e+03	RPL4;RPL31;RPLP0;RPL36A;RPL10A;RPL8;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPS18;RPL36;RPLP2;RPL13;RPL37;RPS2;RPL18;RPS10;RPL17;RPS12;RPS9;RPS8;RPS5;RPS6;RPL13A;RPSA;RPL23A;RPL27A;RPL29;RPL28
KEGG_2021_Human	Coronavirus disease	33/232	1.490621e-28	1.475715e-26	0	0	1.946358e+01	1.247093e+03	RPL4;RPL31;RPLP0;RPL36A;RPL8;RPL10A;RPL9;RPL6;RPL7A;RPS17;RPS16;RPS15A;RPL18A;RPS18;RPL36;RPL13;RPLP2;RPL37;RPS2;RPL18;RPL17;RPS10;RPS12;RPS9;RPS8;RPS5;RPS6;RPL13A;RPSA;RPL23A;RPL27A;RPL29;RPL28
KEGG_2021_Human	Viral myocarditis	5/60	3.324843e-04	2.194396e-02	0	0	9.205128e+00	7.372312e+01	CAV1;HLA-B;HLA-C;HLA-A;ACTG1
KEGG_2021_Human	Phagosome	7/152	8.584580e-04	2.596037e-02	0	0	4.916384e+00	3.471150e+01	TUBB2A;LAMP1;HLA-B;HLA-C;HLA-A;CALR;ACTG1
KEGG_2021_Human	Salmonella infection	9/249	9.324690e-04	2.596037e-02	0	0	3.840314e+00	2.679646e+01	ARF1;TUBB2A;AHNAK;ANXA2;MYC;MYL9;GAPDH;S100A10;ACTG1
KEGG_2021_Human	Cellular senescence	7/156	9.994697e-04	2.596037e-02	0	0	4.783427e+00	3.304528e+01	GADD45A;MYC;HLA-B;HLA-C;HLA-A;ZFP36L2;SLC25A6
KEGG_2021_Human	Endocytosis	9/252	1.014197e-03	2.596037e-02	0	0	3.792321e+00	2.614297e+01	SNX3;ARF1;CAV2;CAV1;HLA-B;CLTB;HLA-C;CLTA;HLA-A
KEGG_2021_Human	Bacterial invasion of epithelial cells	5/77	1.048904e-03	2.596037e-02	0	0	7.025641e+00	4.819597e+01	CAV2;CAV1;CLTB;CLTA;ACTG1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	8/219	1.665388e-03	3.663853e-02	0	0	3.868286e+00	2.474812e+01	MYC;HLA-B;HLA-C;TSPO;HLA-A;CALR;ATF4;SLC25A6
KEGG_2021_Human	TGF-beta signaling pathway	5/94	2.542525e-03	5.034200e-02	0	0	5.678767e+00	3.392835e+01	MYC;ID1;ID3;NBL1;DCN
KEGG_2021_Human	Mineral absorption	4/60	3.056541e-03	5.501775e-02	0	0	7.195335e+00	4.166438e+01	MT2A;MT1X;ATP1A1;MT1E
KEGG_2021_Human	Alzheimer disease	10/369	4.127408e-03	6.810222e-02	0	0	2.850169e+00	1.564773e+01	APP;ATP5F1A;TUBB2A;ATP5MC3;APOE;ATP5F1D;GAPDH;RTN4;ATF4;SLC25A6
KEGG_2021_Human	Prion disease	8/273	6.331930e-03	9.085777e-02	0	0	3.071541e+00	1.554860e+01	ATP5F1A;TUBB2A;CAV2;CAV1;ATP5MC3;ATP5F1D;ATF4;SLC25A6
KEGG_2021_Human	Allograft rejection	3/38	6.424287e-03	9.085777e-02	0	0	8.599710e+00	4.340849e+01	HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Human cytomegalovirus infection	7/225	7.632635e-03	9.629816e-02	0	0	3.257927e+00	1.588344e+01	MYC;GNB2;HLA-B;HLA-C;HLA-A;CALR;ATF4
KEGG_2021_Human	Antigen processing and presentation	4/78	7.781670e-03	9.629816e-02	0	0	5.440154e+00	2.641730e+01	HLA-B;HLA-C;HLA-A;CALR
KEGG_2021_Human	Graft-versus-host disease	3/42	8.491235e-03	9.889792e-02	0	0	7.716127e+00	3.679605e+01	HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Type I diabetes mellitus	3/43	9.061883e-03	9.968071e-02	0	0	7.522843e+00	3.538503e+01	HLA-B;HLA-C;HLA-A
KEGG_2021_Human	RNA transport	6/186	1.116330e-02	1.163333e-01	0	0	3.371134e+00	1.515367e+01	EIF4A2;EEF1A1;EIF4A1;FUS;EIF3G;EIF3F
KEGG_2021_Human	Fluid shear stress and atherosclerosis	5/139	1.301515e-02	1.288500e-01	0	0	3.763108e+00	1.633806e+01	CAV2;MGST3;CAV1;GSTP1;ACTG1
KEGG_2021_Human	Autoimmune thyroid disease	3/53	1.599724e-02	1.390363e-01	0	0	6.015228e+00	2.487501e+01	HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	3/53	1.599724e-02	1.390363e-01	0	0	6.015228e+00	2.487501e+01	CLTB;CLTA;ATP1A1
KEGG_2021_Human	Epstein-Barr virus infection	6/202	1.619566e-02	1.390363e-01	0	0	3.093415e+00	1.275419e+01	GADD45A;MYC;HLA-B;HLA-C;HLA-A;CALR
KEGG_2021_Human	Proteoglycans in cancer	6/205	1.728891e-02	1.390363e-01	0	0	3.046314e+00	1.236100e+01	CAV2;MYC;CAV1;RPS6;DCN;ACTG1
KEGG_2021_Human	Spliceosome	5/150	1.755509e-02	1.390363e-01	0	0	3.475685e+00	1.405015e+01	FUS;SRSF2;SRSF5;HNRNPC;HNRNPA1
KEGG_2021_Human	TNF signaling pathway	4/112	2.612625e-02	1.983339e-01	0	0	3.721088e+00	1.356268e+01	SOCS3;CEBPB;IRF1;ATF4
KEGG_2021_Human	Hepatocellular carcinoma	5/168	2.704553e-02	1.983339e-01	0	0	3.089036e+00	1.115214e+01	GADD45A;MYC;MGST3;GSTP1;ACTG1
KEGG_2021_Human	Protein processing in endoplasmic reticulum	5/171	2.889091e-02	2.043000e-01	0	0	3.032746e+00	1.074874e+01	UBXN1;CALR;P4HB;CRYAB;ATF4
KEGG_2021_Human	Amyotrophic lateral sclerosis	8/364	3.044382e-02	2.078578e-01	0	0	2.275749e+00	7.946625e+00	ATP5F1A;TUBB2A;FUS;ATP5MC3;HNRNPA1;ATP5F1D;ATF4;ACTG1
KEGG_2021_Human	Chemical carcinogenesis	6/239	3.337350e-02	2.202651e-01	0	0	2.597274e+00	8.830715e+00	CBR1;MYC;MGST3;GSTP1;KLF4;ATF4
KEGG_2021_Human	Huntington disease	7/306	3.464291e-02	2.212676e-01	0	0	2.365519e+00	7.954441e+00	ATP5F1A;TUBB2A;CLTB;CLTA;ATP5MC3;ATP5F1D;SLC25A6
KEGG_2021_Human	p53 signaling pathway	3/73	3.677523e-02	2.275467e-01	0	0	4.292241e+00	1.417697e+01	GADD45A;PERP;SFN
KEGG_2021_Human	Parkinson disease	6/249	3.949514e-02	2.301546e-01	0	0	2.489118e+00	8.043778e+00	ATP5F1A;TUBB2A;ATP5MC3;ATP5F1D;ATF4;SLC25A6
KEGG_2021_Human	Lysosome	4/128	3.975297e-02	2.301546e-01	0	0	3.238315e+00	1.044379e+01	LAMP1;PSAP;CLTB;CLTA
KEGG_2021_Human	Metabolism of xenobiotics by cytochrome P450	3/76	4.068389e-02	2.301546e-01	0	0	4.115221e+00	1.317662e+01	CBR1;GSTP1;MGST3
KEGG_2021_Human	Transcriptional misregulation in cancer	5/192	4.402989e-02	2.336906e-01	0	0	2.689291e+00	8.398351e+00	CEBPB;FUS;GADD45A;MYC;NUPR1
KEGG_2021_Human	Oxidative phosphorylation	4/133	4.470243e-02	2.336906e-01	0	0	3.112008e+00	9.671272e+00	ATP5F1A;PPA1;ATP5MC3;ATP5F1D
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	5/193	4.484971e-02	2.336906e-01	0	0	2.674850e+00	8.303906e+00	MYC;GNB2;HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Focal adhesion	5/201	5.173690e-02	2.465799e-01	0	0	2.564626e+00	7.595355e+00	CAV2;COL6A2;CAV1;MYL9;ACTG1
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	2/37	5.272745e-02	2.465799e-01	0	0	5.704185e+00	1.678524e+01	SFN;ATP1A1
KEGG_2021_Human	Thyroid cancer	2/37	5.272745e-02	2.465799e-01	0	0	5.704185e+00	1.678524e+01	GADD45A;MYC
KEGG_2021_Human	Diabetic cardiomyopathy	5/203	5.355019e-02	2.465799e-01	0	0	2.538462e+00	7.430422e+00	ATP5F1A;ATP5MC3;ATP5F1D;GAPDH;SLC25A6
KEGG_2021_Human	Viral carcinogenesis	5/203	5.355019e-02	2.465799e-01	0	0	2.538462e+00	7.430422e+00	GSN;HLA-B;HLA-C;HLA-A;ATF4
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	4/143	5.558912e-02	2.501511e-01	0	0	2.886654e+00	8.341759e+00	MYC;ID1;ID3;KLF4
KEGG_2021_Human	Human immunodeficiency virus 1 infection	5/212	6.216321e-02	2.735181e-01	0	0	2.426979e+00	6.742128e+00	GNB2;HLA-B;HLA-C;HLA-A;CALR
KEGG_2021_Human	Thermogenesis	5/232	8.393612e-02	3.422693e-01	0	0	2.210889e+00	5.477918e+00	ATP5F1A;RPS6;ATP5MC3;ATP5F1D;ACTG1
KEGG_2021_Human	Protein digestion and absorption	3/103	8.449595e-02	3.422693e-01	0	0	3.000000e+00	7.413155e+00	COL6A2;ATP1A1;SLC38A2
KEGG_2021_Human	Sphingolipid metabolism	2/49	8.621894e-02	3.422693e-01	0	0	4.245218e+00	1.040446e+01	PSAP;DEGS1
KEGG_2021_Human	cGMP-PKG signaling pathway	4/167	8.695466e-02	3.422693e-01	0	0	2.458620e+00	6.004857e+00	ATP1A1;MYL9;ATF4;SLC25A6
KEGG_2021_Human	Cholesterol metabolism	2/50	8.924145e-02	3.422693e-01	0	0	4.156566e+00	1.004397e+01	TSPO;APOE
KEGG_2021_Human	Vibrio cholerae infection	2/50	8.924145e-02	3.422693e-01	0	0	4.156566e+00	1.004397e+01	ARF1;ACTG1
KEGG_2021_Human	Tight junction	4/169	8.988892e-02	3.422693e-01	0	0	2.428571e+00	5.850867e+00	RAB13;MYL9;YBX3;ACTG1
KEGG_2021_Human	Drug metabolism	3/108	9.417067e-02	3.518074e-01	0	0	2.856418e+00	6.748705e+00	MGST3;GSTP1;IMPDH2
KEGG_2021_Human	Pathways of neurodegeneration	8/475	1.049908e-01	3.849663e-01	0	0	1.724929e+00	3.887786e+00	APP;ATP5F1A;TUBB2A;FUS;ATP5MC3;ATP5F1D;ATF4;SLC25A6
KEGG_2021_Human	Glutathione metabolism	2/57	1.112189e-01	3.932382e-01	0	0	3.626263e+00	7.964198e+00	GSTP1;MGST3
KEGG_2021_Human	Legionellosis	2/57	1.112189e-01	3.932382e-01	0	0	3.626263e+00	7.964198e+00	EEF1A1;ARF1
KEGG_2021_Human	Endometrial cancer	2/58	1.144652e-01	3.976158e-01	0	0	3.561328e+00	7.719123e+00	GADD45A;MYC
KEGG_2021_Human	Thyroid hormone signaling pathway	3/121	1.212860e-01	4.140452e-01	0	0	2.540050e+00	5.358500e+00	MYC;ATP1A1;ACTG1
KEGG_2021_Human	Cell cycle	3/124	1.279118e-01	4.292632e-01	0	0	2.476696e+00	5.093114e+00	GADD45A;MYC;SFN
KEGG_2021_Human	Pathogenic Escherichia coli infection	4/197	1.356621e-01	4.476849e-01	0	0	2.073279e+00	4.141557e+00	ARF1;TUBB2A;GAPDH;ACTG1
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	3/131	1.438539e-01	4.669356e-01	0	0	2.340419e+00	4.537971e+00	HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Prolactin signaling pathway	2/70	1.550849e-01	4.952712e-01	0	0	2.931075e+00	5.462887e+00	SOCS3;IRF1
KEGG_2021_Human	Estrogen signaling pathway	3/137	1.580124e-01	4.966105e-01	0	0	2.234942e+00	4.123650e+00	KRT14;KRT10;ATF4
KEGG_2021_Human	Apoptosis	3/142	1.701252e-01	5.133513e-01	0	0	2.154001e+00	3.815210e+00	GADD45A;ACTG1;ATF4
KEGG_2021_Human	Thyroid hormone synthesis	2/75	1.727335e-01	5.133513e-01	0	0	2.729625e+00	4.793235e+00	ATP1A1;ATF4
KEGG_2021_Human	Chronic myeloid leukemia	2/76	1.763025e-01	5.133513e-01	0	0	2.692602e+00	4.673156e+00	GADD45A;MYC
KEGG_2021_Human	Gastric acid secretion	2/76	1.763025e-01	5.133513e-01	0	0	2.692602e+00	4.673156e+00	ATP1A1;ACTG1
KEGG_2021_Human	Pertussis	2/76	1.763025e-01	5.133513e-01	0	0	2.692602e+00	4.673156e+00	IRF1;SERPING1
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	2/77	1.798830e-01	5.159128e-01	0	0	2.656566e+00	4.557202e+00	DSP;ACTG1
KEGG_2021_Human	Synaptic vesicle cycle	2/78	1.834746e-01	5.159128e-01	0	0	2.621478e+00	4.445185e+00	CLTB;CLTA
KEGG_2021_Human	Cell adhesion molecules	3/148	1.849990e-01	5.159128e-01	0	0	2.064239e+00	3.483207e+00	HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	3/150	1.900320e-01	5.225880e-01	0	0	2.035947e+00	3.380819e+00	TPM1;ATP1A1;ATF4
KEGG_2021_Human	Oxytocin signaling pathway	3/154	2.002008e-01	5.361941e-01	0	0	1.981612e+00	3.187292e+00	EEF2;MYL9;ACTG1
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	1/23	2.064868e-01	5.361941e-01	0	0	4.517588e+00	7.126581e+00	ATP1A1
KEGG_2021_Human	Complement and coagulation cascades	2/85	2.088786e-01	5.361941e-01	0	0	2.399538e+00	3.757681e+00	SERPING1;CD59
KEGG_2021_Human	Colorectal cancer	2/86	2.125388e-01	5.361941e-01	0	0	2.370851e+00	3.671573e+00	GADD45A;MYC
KEGG_2021_Human	Insulin secretion	2/86	2.125388e-01	5.361941e-01	0	0	2.370851e+00	3.671573e+00	ATP1A1;ATF4
KEGG_2021_Human	Cardiac muscle contraction	2/87	2.162053e-01	5.361941e-01	0	0	2.342840e+00	3.588123e+00	TPM1;ATP1A1
KEGG_2021_Human	Hippo signaling pathway	3/163	2.235254e-01	5.361941e-01	0	0	1.869289e+00	2.800626e+00	MYC;ID1;ACTG1
KEGG_2021_Human	GABAergic synapse	2/89	2.235550e-01	5.361941e-01	0	0	2.288750e+00	3.428771e+00	GNB2;SLC38A2
KEGG_2021_Human	Hypertrophic cardiomyopathy	2/90	2.272373e-01	5.361941e-01	0	0	2.262626e+00	3.352670e+00	TPM1;ACTG1
KEGG_2021_Human	Folate biosynthesis	1/26	2.300829e-01	5.361941e-01	0	0	3.974874e+00	5.840345e+00	CBR1
KEGG_2021_Human	Herpes simplex virus 1 infection	7/498	2.322314e-01	5.361941e-01	0	0	1.426327e+00	2.082467e+00	SOCS3;HLA-B;SRSF2;HLA-C;HLA-A;CALR;SRSF5
KEGG_2021_Human	Small cell lung cancer	2/92	2.346145e-01	5.361941e-01	0	0	2.212121e+00	3.207159e+00	GADD45A;MYC
KEGG_2021_Human	Human papillomavirus infection	5/331	2.375172e-01	5.361941e-01	0	0	1.531697e+00	2.201838e+00	COL6A2;IRF1;HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	1/27	2.377921e-01	5.361941e-01	0	0	3.821801e+00	5.489477e+00	TECR
KEGG_2021_Human	Fatty acid elongation	1/27	2.377921e-01	5.361941e-01	0	0	3.821801e+00	5.489477e+00	TECR
KEGG_2021_Human	Salivary secretion	2/93	2.383085e-01	5.361941e-01	0	0	2.187701e+00	3.137578e+00	CST3;ATP1A1
KEGG_2021_Human	Staphylococcus aureus infection	2/95	2.457050e-01	5.372025e-01	0	0	2.140437e+00	3.004367e+00	KRT14;KRT10
KEGG_2021_Human	Influenza A	3/172	2.473528e-01	5.372025e-01	0	0	1.768930e+00	2.471089e+00	SOCS3;ACTG1;SLC25A6
KEGG_2021_Human	Dilated cardiomyopathy	2/96	2.494068e-01	5.372025e-01	0	0	2.117559e+00	2.940590e+00	TPM1;ACTG1
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	2/97	2.531103e-01	5.372025e-01	0	0	2.095162e+00	2.878606e+00	MARCKS;GSN
KEGG_2021_Human	Prostate cancer	2/97	2.531103e-01	5.372025e-01	0	0	2.095162e+00	2.878606e+00	GSTP1;ATF4
KEGG_2021_Human	Aldosterone synthesis and secretion	2/98	2.568151e-01	5.372025e-01	0	0	2.073232e+00	2.818349e+00	ATP1A1;ATF4
KEGG_2021_Human	Citrate cycle (TCA cycle)	1/30	2.604618e-01	5.372025e-01	0	0	3.425923e+00	4.608891e+00	MDH2
KEGG_2021_Human	Glyoxylate and dicarboxylate metabolism	1/30	2.604618e-01	5.372025e-01	0	0	3.425923e+00	4.608891e+00	MDH2
KEGG_2021_Human	RNA polymerase	1/31	2.678683e-01	5.467827e-01	0	0	3.311558e+00	4.362182e+00	POLR1D
KEGG_2021_Human	Longevity regulating pathway	2/102	2.716403e-01	5.488242e-01	0	0	1.989899e+00	2.593389e+00	CRYAB;ATF4
KEGG_2021_Human	PI3K-Akt signaling pathway	5/354	2.808767e-01	5.617534e-01	0	0	1.429065e+00	1.814683e+00	MYC;GNB2;COL6A2;RPS6;ATF4
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	2/106	2.864567e-01	5.671843e-01	0	0	1.912976e+00	2.391541e+00	NACA;ATF4
