Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LINCS_L1000_Chem_Pert_down	LJP006 SKBR3 24H-XMD-1150-10	25/122	6.162830e-26	1.286183e-21	0	0	2.901767e+01	1.684438e+03	NNMT;C1S;C1R;TACSTD2;HMGB2;FBLN1;AQP3;CXCL14;CRIP1;CCL2;SFN;PDGFRB;XBP1;ANXA1;IGFBP4;BGN;PCOLCE;TM4SF1;DCN;COL1A1;CXCL12;COL6A2;CPE;NBL1;HSPA1A
LINCS_L1000_Chem_Pert_down	LJP006 SKBR3 24H-BI-2536-10	24/179	2.413946e-20	2.518953e-16	0	0	1.728299e+01	7.806803e+02	XBP1;NNMT;ANXA1;CRABP2;CFH;C1S;RPL31;IGFBP4;C1R;TACSTD2;PCOLCE;FBLN1;LYPD3;CXCL14;TM4SF1;DCN;COL6A2;PERP;MGP;SPARCL1;CPE;CCL2;TAGLN2;SFN
LINCS_L1000_Chem_Pert_down	LJP007 HA1E 24H-dacomitinib-10	19/96	1.202379e-19	8.364553e-16	0	0	2.688792e+01	1.171367e+03	NRN1;IGFBP5;IGFBP4;LUM;FHL1;TPM1;BGN;KRT10;TUBA4A;DCN;COL1A1;PALLD;ID1;MGP;TIMP3;CCL2;ID3;TAGLN2;PTMA
LINCS_L1000_Chem_Pert_down	LJP006 BT20 3H-Y-39983-10	17/69	1.897098e-19	9.898111e-16	0	0	3.527911e+01	1.520840e+03	EGR1;TAGLN;NNMT;NRN1;IGFBP5;C1S;BGN;MGST2;KRT10;AQP1;COL1A1;COL3A1;COL1A2;TNFSF10;SFN;TCF4;TIMP1
LINCS_L1000_Chem_Pert_down	LJP009 HA1E 24H-CH5424802-10	22/155	2.790767e-19	1.164866e-15	0	0	1.827634e+01	7.808163e+02	DSP;BTG2;IGFBP5;LUM;TPM2;TPM1;FHL1;EMP2;AQP3;DCN;COL1A1;MFAP4;PALLD;MGP;SERPING1;TXNIP;CCL2;TCF4;MYL9;PPIC;DSC3;TMEM45A
LINCS_L1000_Chem_Pert_down	LJP008 PC3 24H-I-BET151-3.33	23/187	1.127544e-18	3.921972e-15	0	0	1.555836e+01	6.429723e+02	ANXA1;CRABP2;C1S;C1R;TACSTD2;PCOLCE;AQP3;CXCL14;TM4SF1;AQP1;TNFRSF1A;COL1A1;PDLIM1;COL3A1;COL1A2;CLEC2B;COL6A2;MGP;S100A6;SPARCL1;ID3;S100A4;TAGLN2
LINCS_L1000_Chem_Pert_down	LJP006 HA1E 24H-QL-XII-47-3.33	23/195	2.930792e-18	8.737947e-15	0	0	1.482867e+01	5.986520e+02	CFH;IGFBP5;IGFBP4;LUM;TPM2;MMP2;TPM1;FHL1;TACSTD2;EMP2;FBLN1;DCN;HSP90B1;CNN3;COL1A1;CXCL12;PALLD;MGP;TNFSF10;TIMP3;CCL2;HSPA1A;TMEM45A
LINCS_L1000_Chem_Pert_down	LJP006 HS578T 24H-afatinib-10	21/154	4.404577e-18	1.149044e-14	0	0	1.734813e+01	6.932988e+02	IFITM3;TAGLN;CFH;TPM2;TPM1;FHL1;HLA-B;TACSTD2;ARID5B;ARHGAP29;MT1X;CXCL14;TM4SF1;CNN3;COL3A1;COL1A2;PALLD;SERBP1;TIMP3;TAGLN2;TCF4
LINCS_L1000_Chem_Pert_down	LJP005 SKBR3 3H-TG-101348-3.33	18/105	1.724640e-17	3.999248e-14	0	0	2.240962e+01	8.649875e+02	XBP1;CRABP2;C1S;LUM;ACTN1;BGN;MT1X;FBLN1;CXCL14;NDRG1;CRIP1;TM4SF1;DCN;COL1A1;COL3A1;CCL2;SFN;NUPR1
LINCS_L1000_Chem_Pert_down	LJP006 SKBR3 24H-JW-7-24-1-10	20/159	1.432928e-16	2.990521e-13	0	0	1.571623e+01	5.733538e+02	XBP1;CRABP2;LUM;TPM1;TACSTD2;HMGB2;FBLN1;EMP2;SPINT2;DCN;MFAP4;COL3A1;CXCL12;ALDH2;ID1;MGP;CPE;S100A4;SFN;PPIC
