Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Immune System R-HSA-168256	57/1943	3.962710e-14	2.575762e-11	0	0	3.786079e+00	1.168356e+02	IFITM3;IFITM1;IFITM2;TINAGL1;GMFG;ARPC1B;ICAM2;SLC2A3;SRP14;IFIT3;ICAM1;CTSH;LRRFIP1;B2M;CTSC;HLA-DPA1;MEF2C;EGFL7;CD93;HLA-B;HLA-C;LIFR;HLA-A;RNASE1;HLA-E;IFI27;IL3RA;PECAM1;MYH9;TXNIP;PRCP;SOCS2;SOCS3;SDCBP;HLA-DMA;IFI16;STOM;CD59;HLA-DQA1;NPDC1;IL33;CD74;GSN;MSN;PSMB8;PSMB9;BST2;FKBP1A;RCAN1;PTPRB;IL6;STING1;HLA-DRA;CYSTM1;VIM;HLA-DRB1;NECTIN2
Reactome_2022	Interferon Signaling R-HSA-913531	18/200	1.754917e-12	5.703479e-10	0	0	1.066067e+01	2.885694e+02	IFITM3;IFITM1;IFITM2;HLA-B;HLA-C;HLA-A;IFIT3;PSMB8;ICAM1;HLA-E;BST2;SOCS3;IFI27;HLA-DRA;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	Interferon Alpha/Beta Signaling R-HSA-909733	12/72	6.523121e-12	1.413343e-09	0	0	2.100000e+01	5.408690e+02	IFITM3;BST2;SOCS3;IFITM1;IFITM2;IFI27;HLA-B;HLA-C;HLA-A;IFIT3;PSMB8;HLA-E
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	24/468	5.811643e-11	9.443919e-09	0	0	5.944717e+00	1.401085e+02	EGFL7;TINAGL1;GSN;CD93;GMFG;HLA-B;HLA-C;PRCP;SLC2A3;HLA-A;SRP14;RNASE1;BST2;SDCBP;RCAN1;PTPRB;STING1;PECAM1;STOM;CTSH;CYSTM1;CD59;B2M;CTSC
Reactome_2022	Innate Immune System R-HSA-168249	34/1035	8.321047e-10	1.081736e-07	0	0	3.846551e+00	8.042008e+01	TINAGL1;GMFG;ARPC1B;ICAM2;PRCP;SLC2A3;SRP14;SDCBP;IFI16;STOM;CTSH;CD59;LRRFIP1;B2M;CTSC;MEF2C;EGFL7;GSN;CD93;HLA-B;HLA-C;HLA-A;RNASE1;PSMB8;PSMB9;HLA-E;BST2;RCAN1;PTPRB;STING1;PECAM1;MYH9;TXNIP;CYSTM1
Reactome_2022	Interferon Gamma Signaling R-HSA-877300	11/89	1.404001e-09	1.521002e-07	0	0	1.471591e+01	2.999683e+02	SOCS3;HLA-B;HLA-C;HLA-DRA;HLA-A;B2M;HLA-DQA1;HLA-DRB1;ICAM1;HLA-DPA1;HLA-E
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	27/702	2.062953e-09	1.915599e-07	0	0	4.421965e+00	8.843545e+01	IFITM3;IFITM1;IFITM2;IFIT3;ICAM1;SOCS2;SOCS3;B2M;HLA-DQA1;HLA-DPA1;IL33;MEF2C;HLA-B;HLA-C;MSN;LIFR;HLA-A;PSMB8;PSMB9;HLA-E;BST2;IL6;IFI27;IL3RA;HLA-DRA;VIM;HLA-DRB1
Reactome_2022	Endosomal/Vacuolar Pathway R-HSA-1236977	5/11	4.184717e-08	3.400082e-06	0	0	8.458974e+01	1.437116e+03	HLA-B;HLA-C;HLA-A;B2M;HLA-E
Reactome_2022	Hemostasis R-HSA-109582	22/576	8.137441e-08	5.877041e-06	0	0	4.293717e+00	7.009151e+01	SRGN;CD74;SPARC;ANGPT2;VWF;CAV1;PRCP;TFPI;GNG11;RNASE1;SELE;GNAI2;THBD;TMSB4X;TSPAN7;PECAM1;TIMP3;TAGLN2;ESAM;ITGA6;MGLL;JAM2
Reactome_2022	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	10/123	4.493907e-07	2.921039e-05	0	0	9.169539e+00	1.340162e+02	NPDC1;IFITM1;ICAM2;HLA-B;HLA-C;HLA-A;B2M;NECTIN2;ICAM1;HLA-E
Reactome_2022	Cell Surface Interactions At Vascular Wall R-HSA-202733	10/134	9.932433e-07	5.869165e-05	0	0	8.351443e+00	1.154361e+02	THBD;CD74;ANGPT2;CAV1;TSPAN7;PECAM1;ESAM;ITGA6;SELE;JAM2
Reactome_2022	Adaptive Immune System R-HSA-1280218	23/733	1.287891e-06	6.976075e-05	0	0	3.493833e+00	4.738513e+01	NPDC1;CD74;IFITM1;HLA-B;ICAM2;HLA-C;HLA-A;RNASE1;PSMB8;PSMB9;HLA-E;ICAM1;FKBP1A;SOCS3;HLA-DMA;CTSH;HLA-DRA;B2M;HLA-DRB1;HLA-DQA1;CTSC;NECTIN2;HLA-DPA1
Reactome_2022	Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170	5/28	7.752424e-06	3.876212e-04	0	0	2.204794e+01	2.594492e+02	HLA-B;HLA-C;HLA-A;B2M;HLA-E
Reactome_2022	Regulation Of Necroptotic Cell Death R-HSA-5675482	5/29	9.291745e-06	4.270199e-04	0	0	2.112821e+01	2.447995e+02	SDCBP;CDC37;FLOT1;TNFSF10;CFLAR
Reactome_2022	MHC Class II Antigen Presentation R-HSA-2132295	8/104	9.854306e-06	4.270199e-04	0	0	8.552083e+00	9.858501e+01	CD74;HLA-DMA;HLA-DRA;CTSH;HLA-DQA1;HLA-DRB1;CTSC;HLA-DPA1
Reactome_2022	RIPK1-mediated Regulated Necrosis R-HSA-5213460	5/31	1.308021e-05	5.313836e-04	0	0	1.950099e+01	2.192771e+02	SDCBP;CDC37;FLOT1;TNFSF10;CFLAR
Reactome_2022	Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430	4/17	2.085490e-05	7.973932e-04	0	0	3.106279e+01	3.347924e+02	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	ER-Phagosome Pathway R-HSA-1236974	7/89	3.102233e-05	1.120251e-03	0	0	8.721471e+00	9.053587e+01	HLA-B;HLA-C;HLA-A;B2M;PSMB8;HLA-E;PSMB9
Reactome_2022	Signal Transduction R-HSA-162582	45/2465	3.964235e-05	1.347710e-03	0	0	2.085044e+00	2.113320e+01	RAMP2;RAMP3;SPARC;CALCRL;FLT1;EPAS1;ARPC1B;ECE1;UACA;GNAI2;RND1;SOCS3;CDH5;SOX17;PDK4;TNFSF10;FLOT1;STOM;SPTBN1;IL33;MEF2C;CAVIN1;VWF;TPM3;CAV2;SWAP70;CAV1;ARHGAP29;CFLAR;GNG11;RNASE1;PSMB8;PSMB9;TGFBR2;FKBP1A;IL6;CDC37;ID1;CDC42EP3;IL3RA;MYH9;SPRY1;VIM;ACKR1;MGLL
Reactome_2022	Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427	4/20	4.146799e-05	1.347710e-03	0	0	2.523469e+01	2.546329e+02	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	Programmed Cell Death R-HSA-5357801	10/208	4.823609e-05	1.421514e-03	0	0	5.210526e+00	5.178952e+01	SDCBP;GSN;CDC37;TNFSF10;FLOT1;VIM;CFLAR;UACA;PSMB8;PSMB9
Reactome_2022	PD-1 Signaling R-HSA-389948	4/21	5.082545e-05	1.421514e-03	0	0	2.374910e+01	2.348100e+02	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	Integrin Cell Surface Interactions R-HSA-216083	6/66	5.117501e-05	1.421514e-03	0	0	1.017526e+01	1.005342e+02	ICAM2;PECAM1;ITGA6;HSPG2;JAM2;ICAM1
Reactome_2022	Platelet Activation, Signaling And Aggregation R-HSA-76002	11/254	5.248667e-05	1.421514e-03	0	0	4.684107e+00	4.616165e+01	SRGN;SPARC;VWF;TMSB4X;PECAM1;TIMP3;TAGLN2;GNG11;RNASE1;MGLL;GNAI2
Reactome_2022	DAP12 Interactions R-HSA-2172127	5/43	6.723327e-05	1.748065e-03	0	0	1.333468e+01	1.281109e+02	HLA-B;HLA-C;B2M;RNASE1;HLA-E
Reactome_2022	Antigen processing-Cross Presentation R-HSA-1236975	7/104	8.431530e-05	2.107883e-03	0	0	7.367181e+00	6.911114e+01	HLA-B;HLA-C;HLA-A;B2M;PSMB8;HLA-E;PSMB9
Reactome_2022	Calcitonin-like Ligand Receptors R-HSA-419812	3/10	1.122466e-04	2.702232e-03	0	0	4.305946e+01	3.916178e+02	RAMP2;CALCRL;RAMP3
Reactome_2022	RHO GTPase Cycle R-HSA-9012999	14/441	1.489243e-04	3.457172e-03	0	0	3.414948e+00	3.009277e+01	CAVIN1;TPM3;SWAP70;CAV1;ARHGAP29;UACA;RNASE1;RND1;CDC37;CDC42EP3;FLOT1;STOM;VIM;SPTBN1
Reactome_2022	Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361	5/53	1.848592e-04	4.143395e-03	0	0	1.055128e+01	9.069794e+01	GSN;RDX;MYH9;MSN;SPTBN1
Reactome_2022	Leishmania Infection R-HSA-9658195	10/247	1.991824e-04	4.315618e-03	0	0	4.344437e+00	3.702021e+01	RAMP2;IL6;RAMP3;CALCRL;ARPC1B;MYH9;TXNIP;GNG11;RNASE1;GNAI2
