Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Immune System R-HSA-168256	65/1943	3.904861e-19	2.175008e-16	0	0	4.594841e+00	1.947610e+02	NCF1;WIPF1;GMFG;NCF4;ICAM2;ICAM3;CTSS;SEC61A1;RAC2;B2M;HLA-DOB;HLA-DPA1;CD53;MEF2C;PRKCB;RNASET2;HLA-B;RNASE6;HLA-C;CYBA;RHOF;DDOST;HLA-E;TAPBP;PLPP5;NPC2;IRF4;IRF7;IRF8;LTB;BIRC3;HVCN1;PLD4;IL2RG;UBE2J1;HSP90B1;RASGRP3;CD79B;PLAC8;CD79A;HLA-DMA;PRDX4;HLA-DMB;INPP5D;SLAMF7;TNFRSF17;HLA-DQA1;CD55;MCL1;LYN;CD74;ADA2;SVIP;BST2;ISG20;PTPRC;SELL;REL;CD27;HLA-DRA;GRB2;YPEL5;FCGR2B;HLA-DRB1;ITM2C
Reactome_2022	Adaptive Immune System R-HSA-1280218	33/733	3.761819e-13	1.047666e-10	0	0	5.391788e+00	1.542521e+02	NCF1;NCF4;ICAM2;ICAM3;CTSS;UBE2J1;RASGRP3;CD79B;CD79A;SEC61A1;HLA-DMA;HLA-DMB;INPP5D;SLAMF7;B2M;HLA-DOB;HLA-DQA1;HLA-DPA1;LYN;CD74;PRKCB;HLA-B;HLA-C;CYBA;HLA-E;TAPBP;PTPRC;SELL;REL;HLA-DRA;GRB2;FCGR2B;HLA-DRB1
Reactome_2022	Innate Immune System R-HSA-168249	38/1035	2.636004e-12	4.894182e-10	0	0	4.423852e+00	1.179477e+02	NCF1;WIPF1;GMFG;HVCN1;NCF4;ICAM2;ICAM3;PLD4;CTSS;HSP90B1;PLAC8;PRDX4;RAC2;B2M;CD55;LYN;CD53;MEF2C;RNASET2;HLA-B;RNASE6;HLA-C;CYBA;ADA2;RHOF;SVIP;DDOST;HLA-E;BST2;PLPP5;PTPRC;SELL;NPC2;IRF7;GRB2;YPEL5;ITM2C;BIRC3
Reactome_2022	Interferon Gamma Signaling R-HSA-877300	11/89	1.404001e-09	1.955072e-07	0	0	1.471591e+01	2.999683e+02	IRF4;HLA-B;IRF7;HLA-C;IRF8;HLA-DRA;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-E
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	22/468	1.960472e-09	2.183966e-07	0	0	5.363380e+00	1.075362e+02	CD53;GMFG;HVCN1;RNASET2;HLA-B;HLA-C;CYBA;ADA2;RHOF;SVIP;CTSS;DDOST;PLAC8;BST2;PRDX4;PTPRC;SELL;NPC2;YPEL5;B2M;CD55;ITM2C
Reactome_2022	SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	11/108	1.124460e-08	1.043874e-06	0	0	1.182201e+01	2.163828e+02	SEC61A1;SPCS3;TRAM1;SPCS2;SPCS1;RPN2;SSR4;SSR2;SSR3;DDOST;SEC11C
Reactome_2022	Endosomal/Vacuolar Pathway R-HSA-1236977	5/11	4.184717e-08	3.329839e-06	0	0	8.458974e+01	1.437116e+03	HLA-B;HLA-C;B2M;CTSS;HLA-E
Reactome_2022	Antigen processing-Cross Presentation R-HSA-1236975	10/104	9.215027e-08	6.415963e-06	0	0	1.103359e+01	1.787425e+02	SEC61A1;NCF1;NCF4;HLA-B;HLA-C;CYBA;B2M;CTSS;HLA-E;TAPBP
Reactome_2022	Interferon Signaling R-HSA-913531	13/200	1.164624e-07	7.207729e-06	0	0	7.291287e+00	1.164105e+02	HLA-B;HLA-C;HLA-E;BST2;ISG20;IRF4;IRF7;HLA-DRA;IRF8;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	24/702	1.584317e-07	8.824648e-06	0	0	3.845937e+00	6.021946e+01	LYN;MEF2C;HLA-B;HLA-C;IL2RG;HLA-E;HSP90B1;BST2;ISG20;IRF4;INPP5D;IRF7;CD27;HLA-DRA;IRF8;TNFRSF17;GRB2;LTB;B2M;HLA-DRB1;HLA-DQA1;HLA-DPA1;BIRC3;MCL1
Reactome_2022	Interferon Alpha/Beta Signaling R-HSA-909733	8/72	6.015198e-07	3.045877e-05	0	0	1.284896e+01	1.840460e+02	BST2;ISG20;IRF4;HLA-B;IRF7;HLA-C;IRF8;HLA-E
Reactome_2022	MHC Class II Antigen Presentation R-HSA-2132295	9/104	1.011214e-06	4.693719e-05	0	0	9.773767e+00	1.349206e+02	CD74;HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;CTSS;HLA-DPA1
Reactome_2022	Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427	5/20	1.305136e-06	5.592006e-05	0	0	3.382051e+01	4.582410e+02	PTPRC;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	RHO GTPases Activate NADPH Oxidases R-HSA-5668599	5/24	3.463514e-06	1.377984e-04	0	0	2.669501e+01	3.356424e+02	NCF1;PRKCB;NCF4;RAC2;CYBA
Reactome_2022	Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933	9/123	4.113982e-06	1.527659e-04	0	0	8.136952e+00	1.009073e+02	SELL;ICAM2;HLA-B;ICAM3;HLA-C;SLAMF7;FCGR2B;B2M;HLA-E
Reactome_2022	Synthesis, Secretion, And Inactivation Of Glucose-dependent Insulinotropic Polypeptide (GIP) R-HSA-400511	4/13	6.464959e-06	2.250614e-04	0	0	4.487755e+01	5.362470e+02	SPCS3;SPCS2;SPCS1;SEC11C
Reactome_2022	Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170	5/28	7.752424e-06	2.540059e-04	0	0	2.204794e+01	2.594492e+02	HLA-B;HLA-C;B2M;HLA-E;TAPBP
Reactome_2022	CD22 Mediated BCR Regulation R-HSA-5690714	3/6	1.926952e-05	5.962847e-04	0	0	1.004924e+02	1.091044e+03	CD79B;LYN;CD79A
Reactome_2022	Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430	4/17	2.085490e-05	6.113778e-04	0	0	3.106279e+01	3.347924e+02	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	ROS And RNS Production In Phagocytes R-HSA-1222556	5/36	2.786810e-05	7.761265e-04	0	0	1.635153e+01	1.714953e+02	NCF1;HVCN1;NCF4;RAC2;CYBA
Reactome_2022	Synthesis, Secretion, And Deacylation Of Ghrelin R-HSA-422085	4/19	3.343536e-05	8.868331e-04	0	0	2.691837e+01	2.774179e+02	SPCS3;SPCS2;SPCS1;SEC11C
Reactome_2022	PD-1 Signaling R-HSA-389948	4/21	5.082545e-05	1.230860e-03	0	0	2.374910e+01	2.348100e+02	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771	4/21	5.082545e-05	1.230860e-03	0	0	2.374910e+01	2.348100e+02	SPCS3;SPCS2;SPCS1;SEC11C
Reactome_2022	Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973	3/8	5.316210e-05	1.233804e-03	0	0	6.028934e+01	5.933776e+02	NCF1;NCF4;CYBA
Reactome_2022	Costimulation By CD28 Family R-HSA-388841	6/68	6.063574e-05	1.350964e-03	0	0	9.846026e+00	9.561108e+01	LYN;HLA-DRA;GRB2;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	DAP12 Interactions R-HSA-2172127	5/43	6.723327e-05	1.440344e-03	0	0	1.333468e+01	1.281109e+02	HLA-B;HLA-C;GRB2;B2M;HLA-E
Reactome_2022	Incretin Synthesis, Secretion, And Inactivation R-HSA-400508	4/24	8.814272e-05	1.818352e-03	0	0	2.018367e+01	1.884459e+02	SPCS3;SPCS2;SPCS1;SEC11C
Reactome_2022	Signaling By B Cell Receptor (BCR) R-HSA-983705	7/109	1.134023e-04	2.255896e-03	0	0	7.004267e+00	6.363074e+01	CD79B;LYN;CD79A;PRKCB;REL;GRB2;RASGRP3
Reactome_2022	Translation R-HSA-72766	11/281	1.289921e-04	2.477538e-03	0	0	4.209877e+00	3.770264e+01	SPCS3;SEC61A1;TRAM1;SPCS2;SPCS1;SSR4;RPN2;SSR2;SSR3;DDOST;SEC11C
Reactome_2022	RAC2 GTPase Cycle R-HSA-9013404	6/87	2.390923e-04	4.439146e-03	0	0	7.529210e+00	6.278353e+01	ARMCX3;LMAN1;NCF1;NCF4;RAC2;CYBA
Reactome_2022	Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695	4/31	2.471030e-04	4.439884e-03	0	0	1.494558e+01	1.241336e+02	CD79B;LYN;CD79A;GRB2
Reactome_2022	ER-Phagosome Pathway R-HSA-1236974	6/89	2.706313e-04	4.710677e-03	0	0	7.347038e+00	6.035410e+01	SEC61A1;HLA-B;HLA-C;B2M;HLA-E;TAPBP
Reactome_2022	Generation Of Second Messenger Molecules R-HSA-202433	4/32	2.802069e-04	4.729554e-03	0	0	1.441108e+01	1.178824e+02	HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	Cell Surface Interactions At Vascular Wall R-HSA-202733	7/134	4.051115e-04	6.636680e-03	0	0	5.618335e+00	4.388677e+01	LYN;CD74;SELL;INPP5D;GRB2;CD48;JCHAIN
Reactome_2022	RHO GTPase Cycle R-HSA-9012999	13/441	5.189504e-04	8.258726e-03	0	0	3.146534e+00	2.379945e+01	NCF1;WIPF1;NCF4;RHOH;CYBA;RHOF;ARMCX3;LMAN1;FMNL1;TAGAP;RAC2;GRB2;CDC42SE2
Reactome_2022	Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988	4/44	9.633623e-04	1.490536e-02	0	0	1.008163e+01	7.001776e+01	LYN;INPP5D;GRB2;IL2RG
Reactome_2022	CD209 (DC-SIGN) Signaling R-HSA-5621575	3/20	9.905302e-04	1.491150e-02	0	0	1.772141e+01	1.225838e+02	LYN;ICAM2;ICAM3
Reactome_2022	TCR Signaling R-HSA-202403	6/116	1.106439e-03	1.621807e-02	0	0	5.536082e+00	3.768195e+01	PTPRC;INPP5D;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	11/378	1.535933e-03	2.193627e-02	0	0	3.081802e+00	1.996581e+01	SEC61A1;NCF1;NCF4;HLA-B;HLA-C;CYBA;B2M;CTSS;HLA-E;UBE2J1;TAPBP
Reactome_2022	Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480	5/87	1.810249e-03	2.520772e-02	0	0	6.165729e+00	3.893220e+01	LYN;PLPP5;WIPF1;PLD4;GRB2
Reactome_2022	Unfolded Protein Response (UPR) R-HSA-381119	5/89	2.001194e-03	2.718695e-02	0	0	6.018315e+00	3.739788e+01	MYDGF;SERP1;DNAJB9;HERPUD1;HSP90B1
Reactome_2022	Interleukin Receptor SHC Signaling R-HSA-912526	3/27	2.414106e-03	3.201564e-02	0	0	1.254822e+01	7.562094e+01	INPP5D;GRB2;IL2RG
Reactome_2022	Downstream TCR Signaling R-HSA-202424	5/94	2.542525e-03	3.293457e-02	0	0	5.678767e+00	3.392835e+01	INPP5D;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1
Reactome_2022	DAP12 Signaling R-HSA-2424491	3/28	2.684047e-03	3.397759e-02	0	0	1.204569e+01	7.131563e+01	GRB2;B2M;HLA-E
Reactome_2022	MET Receptor Recycling R-HSA-8875656	2/9	3.420232e-03	4.233487e-02	0	0	2.856133e+01	1.621726e+02	GRB2;ARF6
Reactome_2022	SARS-CoV Infections R-HSA-9679506	10/369	4.127408e-03	4.997752e-02	0	0	2.850169e+00	1.564773e+01	CD79B;CD79A;RPN2;HLA-B;IRF7;HLA-C;GRB2;B2M;DDOST;HLA-E
Reactome_2022	Detoxification Of Reactive Oxygen Species R-HSA-3299685	3/34	4.692070e-03	5.560602e-02	0	0	9.711315e+00	5.207092e+01	NCF1;NCF4;CYBA
Reactome_2022	Signaling By Rho GTPases R-HSA-194315	14/644	5.470958e-03	6.348590e-02	0	0	2.290323e+00	1.192869e+01	NCF1;PRKCB;WIPF1;NCF4;RHOH;CYBA;RHOF;ARMCX3;LMAN1;FMNL1;TAGAP;RAC2;GRB2;CDC42SE2
Reactome_2022	RHO GTPase Effectors R-HSA-195258	8/269	5.809303e-03	6.603636e-02	0	0	3.119253e+00	1.605883e+01	FMNL1;NCF1;PRKCB;WIPF1;NCF4;RAC2;GRB2;CYBA
Reactome_2022	PECAM1 Interactions R-HSA-210990	2/12	6.147875e-03	6.848733e-02	0	0	1.998990e+01	1.017815e+02	LYN;INPP5D
Reactome_2022	Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	14/660	6.739524e-03	7.360618e-02	0	0	2.231732e+00	1.115814e+01	NCF1;PRKCB;WIPF1;NCF4;RHOH;CYBA;RHOF;ARMCX3;LMAN1;FMNL1;TAGAP;RAC2;GRB2;CDC42SE2
Reactome_2022	Erythropoietin Activates RAS R-HSA-9027284	2/13	7.218101e-03	7.585816e-02	0	0	1.817172e+01	8.960771e+01	LYN;GRB2
Reactome_2022	Trafficking And Processing Of Endosomal TLR R-HSA-1679131	2/13	7.218101e-03	7.585816e-02	0	0	1.817172e+01	8.960771e+01	CTSS;HSP90B1
Reactome_2022	SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671	5/121	7.423029e-03	7.656717e-02	0	0	4.351017e+00	2.133377e+01	HLA-B;IRF7;HLA-C;B2M;HLA-E
Reactome_2022	Asparagine N-linked Glycosylation R-HSA-446203	8/282	7.637897e-03	7.735107e-02	0	0	2.969282e+00	1.447416e+01	ANKRD28;LMAN1;TMED9;RPN2;NGLY1;NANS;CD55;DDOST
Reactome_2022	Role Of LAT2/NTAL/LAB On Calcium Mobilization R-HSA-2730905	2/14	8.366027e-03	8.175223e-02	0	0	1.665657e+01	7.967795e+01	LYN;GRB2
