Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Focal adhesion	14/201	1.563262e-08	1.821048e-06	0	0	7.894371e+00	1.418927e+02	PDGFRB;ITGB1;PPP1R12A;CAV1;PTK2;MYLK;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;COL6A3;ITGA7;MYL9
KEGG_2021_Human	ECM-receptor interaction	10/88	1.830199e-08	1.821048e-06	0	0	1.330769e+01	2.370933e+02	ITGB1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;COL6A3;ITGA7;CD36;CD44
KEGG_2021_Human	Human papillomavirus infection	17/331	4.128473e-08	2.738554e-06	0	0	5.764888e+00	9.801908e+01	PDGFRB;ITGB1;NOTCH3;HLA-B;HLA-C;ISG15;HLA-A;PTK2;COL1A2;COL4A2;COL4A1;COL6A2;IRF1;COL6A1;COL6A3;ITGA7;HES1
KEGG_2021_Human	Vascular smooth muscle contraction	11/133	9.897920e-08	4.924215e-06	0	0	9.387544e+00	1.514057e+02	ACTA2;PPP1R14A;GUCY1A1;PPP1R12A;CALD1;IRAG1;MYH9;AVPR1A;MYL9;CALM2;MYLK
KEGG_2021_Human	Regulation of actin cytoskeleton	12/218	2.104947e-06	7.179544e-05	0	0	6.071266e+00	7.935886e+01	PDGFRB;ITGB1;FGF7;CXCL12;PPP1R12A;TMSB4X;MYH9;ITGA7;ARPC5;MYL9;PTK2;MYLK
KEGG_2021_Human	Complement and coagulation cascades	8/85	2.164687e-06	7.179544e-05	0	0	1.067262e+01	1.392055e+02	PROCR;C1S;CFH;C1R;SERPING1;CD59;TFPI;A2M
KEGG_2021_Human	PI3K-Akt signaling pathway	15/354	2.960930e-06	8.417501e-05	0	0	4.654628e+00	5.925345e+01	PDGFRB;ITGB1;ANGPT2;PTK2;NR4A1;FGF7;IL6;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;DDIT4;COL6A3;ITGA7
KEGG_2021_Human	Protein digestion and absorption	8/103	9.174064e-06	2.282048e-04	0	0	8.642544e+00	1.002460e+02	COL18A1;COL3A1;COL1A2;COL4A2;COL4A1;COL6A2;COL6A1;COL6A3
KEGG_2021_Human	Pertussis	7/76	1.098130e-05	2.428087e-04	0	0	1.037148e+01	1.184352e+02	ITGB1;IL6;C1S;C1R;IRF1;SERPING1;CALM2
KEGG_2021_Human	Epstein-Barr virus infection	10/202	3.765456e-05	7.493258e-04	0	0	5.375000e+00	5.475543e+01	IL6;GADD45B;HLA-B;HLA-C;HES1;ISG15;VIM;HLA-A;B2M;CD44
KEGG_2021_Human	cGMP-PKG signaling pathway	8/167	2.835761e-04	4.769028e-03	0	0	5.147013e+00	4.204095e+01	GUCY1A1;PPP1R12A;KCNJ8;IRAG1;MYL9;CALM2;ADRA2A;MYLK
KEGG_2021_Human	Hypertrophic cardiomyopathy	6/90	2.875796e-04	4.769028e-03	0	0	7.259205e+00	5.919163e+01	ITGB1;IL6;TPM4;TPM2;TPM1;ITGA7
KEGG_2021_Human	Mineral absorption	5/60	3.324843e-04	5.089568e-03	0	0	9.205128e+00	7.372312e+01	MT2A;MT1A;FTH1;MT1M;FTL
KEGG_2021_Human	Human cytomegalovirus infection	9/225	4.522910e-04	6.428994e-03	0	0	4.272251e+00	3.290140e+01	IL6;CXCL12;HLA-B;HLA-C;CCL2;HLA-A;CALM2;B2M;PTK2
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	5.070298e-04	6.726596e-03	0	0	6.483659e+00	4.919113e+01	IL6;COL3A1;COL1A2;COL4A2;COL4A1;CCL2
KEGG_2021_Human	Amoebiasis	6/102	5.633874e-04	7.007130e-03	0	0	6.347938e+00	4.749237e+01	IL6;COL3A1;COL1A2;COL4A2;COL4A1;PTK2
KEGG_2021_Human	Graft-versus-host disease	4/42	8.067730e-04	9.443990e-03	0	0	1.061332e+01	7.559303e+01	IL6;HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Type I diabetes mellitus	4/43	8.826237e-04	9.757895e-03	0	0	1.034066e+01	7.272184e+01	HLA-B;HLA-C;CPE;HLA-A
KEGG_2021_Human	Cellular senescence	7/156	9.994697e-04	1.046813e-02	0	0	4.783427e+00	3.304528e+01	IL6;GADD45B;HLA-B;HLA-C;HLA-A;CALM2;ZFP36L1
KEGG_2021_Human	Proteoglycans in cancer	8/205	1.094868e-03	1.089393e-02	0	0	4.146151e+00	2.826481e+01	ITGB1;CD63;COL1A2;PPP1R12A;CAV1;TIMP3;PTK2;CD44
KEGG_2021_Human	Platelet activation	6/124	1.559289e-03	1.477612e-02	0	0	5.158658e+00	3.334312e+01	ITGB1;GUCY1A1;COL3A1;COL1A2;PPP1R12A;MYLK
KEGG_2021_Human	Small cell lung cancer	5/92	2.314641e-03	2.093698e-02	0	0	5.809903e+00	3.525740e+01	ITGB1;COL4A2;GADD45B;COL4A1;PTK2
KEGG_2021_Human	Pathways in cancer	13/531	2.742895e-03	2.310282e-02	0	0	2.587760e+00	1.526453e+01	PDGFRB;ITGB1;NOTCH3;GADD45B;EPAS1;PTK2;FGF7;IL6;CXCL12;COL4A2;COL4A1;HES1;CALM2
KEGG_2021_Human	Dilated cardiomyopathy	5/96	2.786270e-03	2.310282e-02	0	0	5.553395e+00	3.267091e+01	ITGB1;TPM4;TPM2;TPM1;ITGA7
KEGG_2021_Human	Viral myocarditis	4/60	3.056541e-03	2.433007e-02	0	0	7.195335e+00	4.166438e+01	CAV1;HLA-B;HLA-C;HLA-A
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	7/193	3.346136e-03	2.561081e-02	0	0	3.824670e+00	2.180042e+01	ZFP36;IL6;ANGPT2;HLA-B;HLA-C;HLA-A;CALM2
KEGG_2021_Human	Phagosome	6/152	4.304245e-03	3.172388e-02	0	0	4.163395e+00	2.268281e+01	ITGB1;C1R;HLA-B;HLA-C;HLA-A;CD36
KEGG_2021_Human	TNF signaling pathway	5/112	5.381572e-03	3.822646e-02	0	0	4.719147e+00	2.465648e+01	SOCS3;IL6;IRF1;CCL2;JUNB
KEGG_2021_Human	Human immunodeficiency virus 1 infection	7/212	5.570690e-03	3.822646e-02	0	0	3.466827e+00	1.799365e+01	BST2;HLA-B;HLA-C;HLA-A;CALM2;B2M;PTK2
