Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Oxidative phosphorylation,35/133,3.002341440201497e-40,5.73447215078486e-38,0,0,42.64502164502164,3880.868029772149,NDUFB9;COX7B;NDUFB7;UQCRB;COX4I1;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7A1;COX7C;COX5A;UQCRH;ATP5F1A;ATP5F1B;ATP6V0A4;ATP5MG;COX8A;ATP6V1G1;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;PPA1;UQCRQ;NDUFS5;ATP5PO
KEGG_2021_Human,Diabetic cardiomyopathy,36/203,1.0878113037533638e-34,1.0388597950844623e-32,0,0,25.806484591792024,2018.16323616759,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP2A3;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;PPP1CB;ATP5F1A;ATP5F1B;COX8A;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO;VDAC1;SLC25A4;GAPDH
KEGG_2021_Human,Parkinson disease,36/249,2.2255225870026453e-31,1.4169160470583508e-29,0,0,20.185846788045342,1424.720015941196,NDUFB9;COX7B;NDUFB7;CALML5;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;ITPR2;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;ATP5F1A;ATP5F1B;COX8A;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO;VDAC1;CALM2;SLC25A4
KEGG_2021_Human,Prion disease,35/273,1.1556821777975687e-28,5.518382398983391e-27,0,0,17.4349376114082,1121.549293290118,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;ITPR2;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;ATP5F1A;ATP5F1B;CREB3L4;COX8A;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO;VDAC1;SLC25A4
KEGG_2021_Human,Thermogenesis,33/232,1.4906208335466771e-28,5.694171584148307e-27,0,0,19.463575361839137,1247.0933603669678,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;ATP5F1A;ATP5F1B;CREB3L4;ATP5MG;COX8A;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO
KEGG_2021_Human,Alzheimer disease,38/369,1.6013963053693644e-27,5.097778238759143e-26,0,0,13.796986311588528,851.2591763591508,NDUFB9;COX7B;NDUFB7;CALML5;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP2A3;ATP5MC3;ITPR2;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;ATP5F1A;ATP5F1B;COX8A;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO;VDAC1;CALM2;SLC25A4;GAPDH
KEGG_2021_Human,Huntington disease,34/306,9.395519844126308e-26,2.5636347003258926e-24,0,0,14.704819277108436,847.3943183642394,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;ATP5F1A;ATP5F1B;CREB3L4;COX8A;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO;VDAC1;SLC25A4
KEGG_2021_Human,Non-alcoholic fatty liver disease,25/155,3.360194981057257e-23,8.022465517274201e-22,0,0,21.615384615384617,1118.5412104888546,NDUFB9;COX7B;NDUFB7;UQCRB;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7A1;COX7C;COX5A;UQCRH;COX8A;NDUFA1;NDUFC1;COX6B1;NDUFS8;UQCRQ;NDUFS5
KEGG_2021_Human,Pathways of neurodegeneration,37/475,1.628262499476438e-22,3.455534859999996e-21,0,0,10.034372636355997,503.4180386258996,NDUFB9;COX7B;NDUFB7;CALML5;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP2A3;ATP5MC3;ITPR2;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;ATP5F1A;ATP5F1B;COX8A;NDUFA1;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO;VDAC1;CALM2;SLC25A4
KEGG_2021_Human,Amyotrophic lateral sclerosis,33/364,3.5076927235378933e-22,6.699693101957376e-21,0,0,11.622863035258788,574.1916750835524,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB4;COX4I1;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX6A1;COX7C;COX5A;COX7A1;UQCRH;ATP5F1A;ATP5F1B;COX8A;NDUFA1;CHCHD10;NDUFC1;ATP5F1C;COX6B1;NDUFS8;UQCRQ;NDUFS5;ATP5PO;VDAC1
