Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Response To Interferon-Beta (GO:0035456)	7/29	1.165888e-08	1.984289e-05	0	0	3.260622e+01	5.956242e+02	IFITM3;BST2;IFITM1;IFITM2;IFI16;IRF1;CALM1
GO_Biological_Process_2023	Supramolecular Fiber Organization (GO:0097435)	17/316	2.096449e-08	1.984289e-05	0	0	6.058757e+00	1.071215e+02	COL18A1;GSN;TPM4;LUM;RHOA;CNN3;COL1A1;FKBP1A;CST3;MFAP4;COL3A1;COL1A2;SERPINH1;VIM;RAC1;MYL9;B2M
GO_Biological_Process_2023	Negative Regulation Of Viral Life Cycle (GO:1903901)	6/20	3.199172e-08	2.018678e-05	0	0	4.370987e+01	7.543357e+02	IFITM3;BST2;SNX3;IFITM1;GSN;IFITM2
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	26/766	5.306697e-08	2.511395e-05	0	0	3.848711e+00	6.447249e+01	COL18A1;IFITM1;CDKN1A;BTG1;CLU;ACTB;ZFP36L1;SDCBP;FTH1;LMNA;S100A13;IGFBP7;TIMP1;JUNB;S100A11;PDGFRB;FN1;DYNLL1;RHOA;SFRP2;RGCC;ID2;IRF1;CALR;HSPA1B;HSPA1A
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	17/379	2.863489e-07	1.084117e-04	0	0	4.988165e+00	7.515197e+01	COL18A1;IFITM1;CDKN1A;BTG1;DYNLL1;SFRP2;RGCC;FTH1;IRF1;LMNA;APOD;IGFBP7;APOE;B2M;HSPA1B;S100A11;HSPA1A
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	18/434	3.999069e-07	1.235677e-04	0	0	4.608411e+00	6.789127e+01	PDGFRB;ITGB1;IFITM1;HSPA5;CAV1;THY1;DYNLL1;RHOA;ACTG1;COL1A1;BST2;SDCBP;SFRP2;CXCL12;TMSB4X;LMNA;RAC1;TMSB10
GO_Biological_Process_2023	Negative Regulation Of Cellular Process (GO:0048523)	20/537	4.874173e-07	1.235677e-04	0	0	4.144208e+00	6.023252e+01	COL18A1;IFITM1;CDKN1A;BTG1;DUSP1;FHL1;DYNLL1;CLU;ACTB;BST2;SFRP2;RGCC;FTH1;IRF1;LMNA;IGFBP7;TGFBI;HSPA1B;S100A11;HSPA1A
GO_Biological_Process_2023	Response To Cytokine (GO:0034097)	10/125	5.222091e-07	1.235677e-04	0	0	9.009153e+00	1.303192e+02	IFITM3;BST2;IFITM1;COL3A1;IFITM2;TIMP2;ISG15;TIMP1;RHOA;MCL1
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	23/705	6.614874e-07	1.387740e-04	0	0	3.642610e+00	5.182988e+01	ITGB1;GADD45B;HSPA5;ANXA5;HTRA1;FSTL1;CLU;ACTB;AQP1;PTMS;SOCS3;MORF4L1;SFRP2;LGALS1;CFL1;CALR;SQSTM1;HSPA1B;CD44;TPT1;HSPA1A;ATF4;MCL1
GO_Biological_Process_2023	Negative Regulation Of Viral Entry Into Host Cell (GO:0046597)	5/18	7.330903e-07	1.387740e-04	0	0	3.902761e+01	5.513040e+02	IFITM3;SNX3;IFITM1;GSN;IFITM2
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	14/283	1.053764e-06	1.689404e-04	0	0	5.464964e+00	7.521507e+01	IFITM1;BTG1;ADIRF;ACTB;RHOA;ZFP36L1;COL1A1;SDCBP;ZFP36;SFRP2;RGCC;ID2;TCF4;NBL1
GO_Biological_Process_2023	Regulation Of Focal Adhesion Assembly (GO:0051893)	7/54	1.070938e-06	1.689404e-04	0	0	1.524319e+01	2.095478e+02	APOD;RAC1;THY1;DYNLL1;RHOA;ACTG1;S100A10
GO_Biological_Process_2023	Extracellular Matrix Organization (GO:0030198)	11/176	1.651136e-06	2.404308e-04	0	0	6.925926e+00	9.221210e+01	COL1A1;COL18A1;POSTN;COL3A1;COL1A2;GSN;LUM;CTSK;MMP2;SERPINH1;TGFBI
GO_Biological_Process_2023	Regulation Of Inclusion Body Assembly (GO:0090083)	4/10	1.944057e-06	2.453399e-04	0	0	6.732653e+01	8.853933e+02	DNAJB1;HSPA2;HSPA1B;HSPA1A
GO_Biological_Process_2023	Negative Regulation Of Inclusion Body Assembly (GO:0090084)	4/10	1.944057e-06	2.453399e-04	0	0	6.732653e+01	8.853933e+02	DNAJB1;HSPA2;HSPA1B;HSPA1A
GO_Biological_Process_2023	Negative Regulation Of Viral Process (GO:0048525)	7/61	2.486809e-06	2.942206e-04	0	0	1.326252e+01	1.711463e+02	IFITM3;BST2;IFITM1;ZFP36;IFITM2;IFI16;ISG15
GO_Biological_Process_2023	Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991)	6/40	2.682372e-06	2.986900e-04	0	0	1.797999e+01	2.306618e+02	CDKN1A;RGCC;FHL1;CCL2;ZFP36L2;ZFP36L1
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	6/42	3.605481e-06	3.592198e-04	0	0	1.697938e+01	2.128035e+02	COL1A1;COL18A1;COL3A1;COL1A2;LUM;SERPINH1
GO_Biological_Process_2023	Substantia Nigra Development (GO:0021762)	6/42	3.605481e-06	3.592198e-04	0	0	1.697938e+01	2.128035e+02	YWHAQ;HSPA5;DYNLL1;CALM1;CALM2;RHOA
GO_Biological_Process_2023	Negative Regulation Of Endopeptidase Activity (GO:0010951)	7/66	4.255887e-06	3.871048e-04	0	0	1.213551e+01	1.500823e+02	CST3;IFI16;SERPINF1;TIMP2;SERPINH1;SERPING1;TIMP1
GO_Biological_Process_2023	Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230)	5/25	4.294348e-06	3.871048e-04	0	0	2.535897e+01	3.133915e+02	CXCL12;SFRP2;CLU;CD44;TPT1
GO_Biological_Process_2023	Regulation Of Cell Communication By Electrical Coupling (GO:0010649)	4/12	4.511014e-06	3.881522e-04	0	0	5.048980e+01	6.214783e+02	CAV1;SRI;CALM1;CALM2
GO_Biological_Process_2023	Regulation Of Viral Entry Into Host Cell (GO:0046596)	6/44	4.771806e-06	3.927403e-04	0	0	1.608410e+01	1.970751e+02	IFITM3;SNX3;IFITM1;IFITM2;LGALS1;GSN
GO_Biological_Process_2023	Negative Regulation Of Cell Migration (GO:0030336)	10/163	5.837651e-06	4.220057e-04	0	0	6.758514e+00	8.144808e+01	BST2;IFITM1;COL3A1;SFRP2;ARHGDIB;THY1;CALR;RAC1;TIMP1;DYNLL1
GO_Biological_Process_2023	Chaperone Cofactor-Dependent Protein Refolding (GO:0051085)	5/27	6.420000e-06	4.220057e-04	0	0	2.305128e+01	2.756033e+02	DNAJB1;HSPA5;HSPA2;HSPA1B;HSPA1A
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484)	4/13	6.464959e-06	4.220057e-04	0	0	4.487755e+01	5.362470e+02	HLA-B;HLA-C;HLA-A;HLA-E
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)	4/13	6.464959e-06	4.220057e-04	0	0	4.487755e+01	5.362470e+02	HLA-B;HLA-C;HLA-A;HLA-E
GO_Biological_Process_2023	Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476)	4/13	6.464959e-06	4.220057e-04	0	0	4.487755e+01	5.362470e+02	HLA-B;HLA-C;HLA-A;HLA-E
GO_Biological_Process_2023	Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428)	4/13	6.464959e-06	4.220057e-04	0	0	4.487755e+01	5.362470e+02	HLA-B;HLA-C;HLA-A;HLA-E
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	17/482	7.502681e-06	4.734192e-04	0	0	3.862683e+00	4.558062e+01	ITGB1;HSPA5;CAV1;ANXA5;FSTL1;CLU;AQP1;PTMS;SOCS3;CFL1;CCL2;APOE;HSPA1B;CD44;TPT1;HSPA1A;MCL1
